"",gene_symbol,GSM1275862,GSM1275863,GSM1275864,GSM1275865,GSM1275866,GSM1275867,GSM1275868,GSM1275869,GSM1275870,GSM1275871,GSM1275872,GSM1275873,GSM1275874,GSM1275875,GSM1275876,GSM1275877
ENSG00000140443,IGF1R,4298.6482,4221.184,4899.9807,4454.7219,4406.1201,3581.2184,8967.8424,4895.8775,3747.802,7409.6898,5138.3694,3596.7853,3617.9518,6112.8458,4227.1275,7415.5875
ENSG00000140450,ARRDC4,1693.8936,794.5398,1404.0423,873.6056,1832.5049,768.622,1765.5651,1941.4025,1645.3846,1340.1468,1241.5781,1228.716,1586.8123,832.4707,1723.6909,1047.395
ENSG00000140451,PIF1,97.2581,169.5482,126.9454,126.8793,155.208,68.4663,178.3997,158.4933,182.312,240.0087,149.2167,108.8002,97.8659,99.3183,187.4114,132.6955
ENSG00000140455,USP3,513.1573,363.7435,532.3251,335.1917,593.9893,275.6179,646.5675,495.004,701.7188,452.8677,366.6864,459.6318,397.7824,330.8771,609.0691,489.6816
ENSG00000140459,CYP11A1,17.2988,15.3409,26.4395,11.8683,30.7256,36.2607,81.5899,48.7586,32.136,45.351,62.6302,21.938,31.2974,51.7175,51.9883,75.8283
ENSG00000140463,BBS4,629.6098,545.4937,623.4101,556.6476,840.8318,594.073,1084.675,772.1446,785.627,853.9851,734.7703,617.269,642.4784,745.4911,880.4571,970.6173
ENSG00000140464,PML,1524.3607,1355.1168,1321.4306,1316.6414,1528.5256,1084.9276,2299.3288,1549.6548,1338.7559,2349.6598,2017.9528,1138.9304,1231.223,1462.7957,1618.4875,1759.2454
ENSG00000140465,CYP1A1,0,12.5497,2.6536,3.2775,0,0,5.249,0.7483,1.5871,3.3872,4.6427,2.6019,0,0,2.6373,2.5969
ENSG00000140470,ADAMTS17,7.6302,25.8382,10.8937,16.5822,7.0781,4.46,17.1657,6.8031,3.7567,15.8462,3.198,7.1448,0,7.2721,2.9646,3.4001
ENSG00000140471,LINS1,108.6595,106.9385,115.9456,140.3581,149.5417,71.7303,179.359,99.9464,137.7413,149.0929,148.8818,91.4022,143.8963,145.8466,171.6796,140.0981
ENSG00000140474,ULK3,334.4651,396.3797,450.0935,387.035,287.1128,213.6839,695.5629,270.1431,352.0084,429.2668,439.0697,283.5497,292.0322,306.5864,360.9903,584.3944
ENSG00000140478,GOLGA6D,0,0,0,0,0,0,3.942,0,1.6262,0.3331,0.6092,2.8354,3.8247,0,0.3453,0
ENSG00000140479,PCSK6,27.1759,53.645,78.1485,68.2967,250.1429,58.1544,238.5555,163.3653,36.5695,38.5278,53.9107,28.5347,101.5128,104.1731,154.7431,119.9346
ENSG00000140481,CCDC33,0,0,0,0,0,0,0,0,0,0,1.4098,0,0,0,0,0.7196
ENSG00000140488,CELF6,28.8563,59.1643,61.7167,73.2055,60.3105,22.371,88.4399,42.0392,39.7037,51.0875,56.9519,21.1321,27.5305,72.9712,39.8876,65.5569
ENSG00000140497,SCAMP2,1216.8216,1160.3619,1025.2198,1213.2913,1425.1234,949.7712,1891.871,1122.7663,1428.1534,2243.9684,1822.0594,1223.5481,1044.6644,1455.615,1417.5468,1652.5558
ENSG00000140505,CYP1A2,7.918,4.0536,6.572,6.3455,14.5374,6.407,14.5049,8.3857,13.0724,17.1889,10.723,7.1512,6.3912,6.6549,12.793,6.3224
ENSG00000140506,LMAN1L,0,1.6349,0,0,0,0,3.5525,0,0,0,0,0,0.5383,0,0,1.2763
ENSG00000140511,HAPLN3,47.7052,168.2273,62.0388,136.2629,191.5722,178.9954,221.1671,80.7227,46.4731,310.8357,320.0854,78.2815,100.3871,152.2953,148.4688,184.8923
